"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"EU HICP (Base Year 2025 = 100)","1996","Actual rental payments made for housing","Base Year 2025=100","30.8"
"EU HICP (Base Year 2025 = 100)","1997","Actual rental payments made for housing","Base Year 2025=100","31.2"
"EU HICP (Base Year 2025 = 100)","1998","Actual rental payments made for housing","Base Year 2025=100","32.9"
"EU HICP (Base Year 2025 = 100)","1999","Actual rental payments made for housing","Base Year 2025=100","35"
"EU HICP (Base Year 2025 = 100)","2000","Actual rental payments made for housing","Base Year 2025=100","38.8"
"EU HICP (Base Year 2025 = 100)","2001","Actual rental payments made for housing","Base Year 2025=100","44.4"
"EU HICP (Base Year 2025 = 100)","2002","Actual rental payments made for housing","Base Year 2025=100","46.6"
"EU HICP (Base Year 2025 = 100)","2003","Actual rental payments made for housing","Base Year 2025=100","46.3"
"EU HICP (Base Year 2025 = 100)","2004","Actual rental payments made for housing","Base Year 2025=100","45.2"
"EU HICP (Base Year 2025 = 100)","2005","Actual rental payments made for housing","Base Year 2025=100","46.1"
"EU HICP (Base Year 2025 = 100)","2006","Actual rental payments made for housing","Base Year 2025=100","48.8"
"EU HICP (Base Year 2025 = 100)","2007","Actual rental payments made for housing","Base Year 2025=100","53.9"
"EU HICP (Base Year 2025 = 100)","2008","Actual rental payments made for housing","Base Year 2025=100","56.5"
"EU HICP (Base Year 2025 = 100)","2009","Actual rental payments made for housing","Base Year 2025=100","48.5"
"EU HICP (Base Year 2025 = 100)","2010","Actual rental payments made for housing","Base Year 2025=100","46"
"EU HICP (Base Year 2025 = 100)","2011","Actual rental payments made for housing","Base Year 2025=100","46"
"EU HICP (Base Year 2025 = 100)","2012","Actual rental payments made for housing","Base Year 2025=100","46.7"
"EU HICP (Base Year 2025 = 100)","2013","Actual rental payments made for housing","Base Year 2025=100","49.3"
"EU HICP (Base Year 2025 = 100)","2014","Actual rental payments made for housing","Base Year 2025=100","53.3"
"EU HICP (Base Year 2025 = 100)","2015","Actual rental payments made for housing","Base Year 2025=100","57.6"
"EU HICP (Base Year 2025 = 100)","2016","Actual rental payments made for housing","Base Year 2025=100","62.6"
"EU HICP (Base Year 2025 = 100)","2017","Actual rental payments made for housing","Base Year 2025=100","66.8"
"EU HICP (Base Year 2025 = 100)","2018","Actual rental payments made for housing","Base Year 2025=100","71.1"
"EU HICP (Base Year 2025 = 100)","2019","Actual rental payments made for housing","Base Year 2025=100","74.8"
"EU HICP (Base Year 2025 = 100)","2020","Actual rental payments made for housing","Base Year 2025=100","75"
"EU HICP (Base Year 2025 = 100)","2021","Actual rental payments made for housing","Base Year 2025=100","77.1"
"EU HICP (Base Year 2025 = 100)","2022","Actual rental payments made for housing","Base Year 2025=100","84.6"
"EU HICP (Base Year 2025 = 100)","2023","Actual rental payments made for housing","Base Year 2025=100","90.9"
"EU HICP (Base Year 2025 = 100)","2024","Actual rental payments made for housing","Base Year 2025=100","95.7"
"EU HICP (Base Year 2025 = 100)","2025","Actual rental payments made for housing","Base Year 2025=100","100"
